sl no,work,status,year,garam,work type,Total
,(1504009014/IF/93393042892597430),,,,,
1419,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮೈಲಾರಿ ಮಾಳಪ್ಪ ದ್ಯಾವನ್ನವರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597431),,,,,
1420,ನರಸಾಪೂರ ಗ್ರಾಮದ ನಾಮೇಶ ನಾ ಹಳ್ಳಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597478),,,,,
1421,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗುರುಪಾದ ಚ ಕಡಕೋಳ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597481),,,,,
1422,ಬಸವರಾಜ ವಿಠ್ಠಲ ಕರಿಗಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597485),,,,,
1423,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕಾರ್ತಿಕ ಹಳ್ಳಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597486),,,,,
1424,ನರಸಾಪೂರ ಗ್ರಾಮದ ಹನಮಂತ ಅ ಇಂಚಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892599119),,,,,
1425,ನರಸಾಪೂರ ಗ್ರಾಮದ ಲಕ್ಷ್ಮಣ ಭೀ ಇಂಚಲ್ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892599120),,,,,
1426,ತೋಟಗಳ ಬದುಗಳಲ್ಲಿ ಗಿಡ ನೇಡುವದು,Completed,2009-2010,Gram Panchayat,Works on Individuals Land (Category IV),0.328
,(1504009014/IF/965663),,,,,
1427,"ಪರಿಸಿಷ್ಠ ಜಾತಿ/ಪಂಗಡ ಹಾಗೂ ಬಿ,ಪಿಎಲ್ ಫಲಾನುಭವಿಗಳ ಮನೆ ಮು",Completed,2008-2009,Gram Panchayat,Works on Individuals Land (Category IV),0.082
,(1504009014/IF/965666),,,,,
1428,ಉರ್ದು ಶಾಲಾ ಮೈದಾನ ಅಭಿವ್ರದ್ದಿ,Completed,2008-2009,R.D.Deptt.,Land Development,0.1
,(1504009014/LD/403),,,,,
1429,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಜನತಾ ಕಾಲನಿಯಲ್ಲಿರುವ ಕಗಂ ಶಾಲೆ ಆಟದ,Completed,2007-2008,R.D.Deptt.,Land Development,0.41292
,(1504009014/LD/61578),,,,,
1430,ಜೀವಾಪೂರ ನವಗ್ರಾಮ ಬಡಾವಣೆ ಅಭಿವೃಧ್ಧಿ.,Completed,2007-2008,R.D.Deptt.,Land Development,0.3996
,(1504009014/LD/61704),,,,,
1431,1504009014/LD/61709,Completed,2008-2009,Gram Panchayat,Land Development,0.7326
,(1504009014/LD/61709),,,,,
1432,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಉರ್ದು ಶಾಲಾ ಮೈದಾನ ಅಭಿವೃಧ್ಧಿ.,Completed,2008-2009,R.D.Deptt.,Land Development,0.41398
,(1504009014/LD/62218),,,,,
1433,ಸುಳ್ಳಿಕೇರಿ ಗ್ರಾಮದ ಜನತಾ ಕಾಲನಿ ಬಡಾವಣೆ ಅಭಿವೃಧ್ಧಿ.,Completed,2008-2009,R.D.Deptt.,Land Development,0.80908
,(1504009014/LD/62219),,,,,
1434,ಉರ್ದು ಶಾಲೆ ಕಂಪೌಡ ನಿರ್ಮಾಣ.,Completed,2009-2010,R.D.Deptt.,Land Development,0.747
,(1504009014/LD/69075351),,,,,
1435,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕನ್ನಡ ಜನತಾ ಕಾಲನಿಯಲ್ಲಿ ಶಾಲೆಗೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2010-2011,Gram Panchayat,Land Development,5.00392
,(1504009014/LD/69094298),,,,,
1436,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಉರ್ದು ಶಾಲೆ ಕಂಪೌಂಡ ಗೊಡೆ ನಿರ್ಮಾಣ.,Completed,2010-2011,Gram Panchayat,Land Development,2.62467
,(1504009014/LD/69094426),,,,,
1437,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಖಭರಸ್ಥಾನ ಕಂಪೌಂಡ ಗೋಡೆ.,Completed,2010-2011,Gram Panchayat,Land Development,4.00653
,(1504009014/LD/69099022),,,,,
1438,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ನಾಗಪ್ಪ ಕಲ್ಲಪ್ಪ ಪೂಜೇರ ಇವರ ಹೊಲದ ಹತ್ತಿರ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020872),,,,,
1439,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ರಾಮಚಂದ್ರ ಹನಮಂತ ಕುಕ್ಕಡಿ ಇವರ ಮನೆಯಿಂದ ಲಕ್ಕವ್ವ ಬಸಪ್ಪ ಗೊರವರ ಇವರ ಮನೆಯವರೆಗೆ ರಕ್ಷಣಾ ಗೋಡೆ ನ,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020877),,,,,
1440,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಚಿಣಗಿಸಾಬರ ಮನೆಯಿಂದ ಕಿನಾಲ ವರೆಗೆ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020882),,,,,
1441,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಅಂಗನವಾಡಿಯ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020887),,,,,
1442,ಸುಳ್ಳಿಕೇರಿ ಗ್ರಾಮದಲ್ಲಿ ಶಾಲೆಯ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020892),,,,,
1443,ಬಡಿಸಾಲಿಯಿಂದ ಮುರುಡಿಯವರ ಮನೆಯವರೆಗೆ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021160),,,,,
1444,ಅಂಗನವಾಡಿ ಗೇಟ್ ದಿಂದ ಕನ್ನಡ ಶಾಲೆ ರಕ್ಷಣಾ ಗೋಡೆ ಎತ್ತರಿಸುವದು,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021161),,,,,
1445,ಪ್ರಾಥಮೀಕ ಶಾಲೆಯಲ್ಲಿ ಸಿಮೇಂಟ್ ಇಟ್ಟಿಗೆ ಜೋಡಣೆ ಮಾಡುವದು,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021162),,,,,
1446,ಬಾಬು ಸಿದ್ದಪ್ಪ ಬಾಣಿ ಇವರ ಖುಲ್ಲಾ ಜಾದಿಂದ ಕರಿಯಪ್ಪ ಫಕೀರಪ್ಪ ಬಾಣಿ ಇವರ ಮನೆಯವರೆಗೆ ಸಿ ಸಿ ರಸ್ತೆ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021163),,,,,
1447,ಫಕೀರಪ್ಪ ಮಜ್ಜಗಿ ಮನೆಯಿಂದ ಶಿವಪ್ಪ ಬಸಪ್ಪ ಕರಿಗಾರ ಇವರ ಮನೆಯವರೆಗೆ ಸಿ ಸಿ ರಸ್ತೆ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021164),,,,,
1448,ಶೇಖಪ್ಪ ಹುರಕಡ್ಲಿ ಇವರ ಮನೆಯಿಂದ ಯಲ್ಲಪ್ಪ ಹನಮಂತ ಮಾದರ ಮನೆಯವರೆಗೆ ಸಿ ಸಿ ರಸ್ತೆ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021165),,,,,
1449,ಪ್ರಕಾಶ ರಾಮಣ್ಣ ಬಾಣಿ ಇವರ ಮನೆಯಿಂದ ದ್ಯಾಮಣ್ಣ ಶಿದ್ಲಿಂಗಪ್ಪ ಹಕ್ಕೆಪ್ಪನವರ ಮನೆಯವರೆಗೆ ಸಿ ಸಿ ರಸ್ತೆ ನಿರ್ಮಾಣ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021166),,,,,
1450,ಮುಖ್ಯ ರಸ್ತೆಯಿಂದ ಸಮುದಾಯ ಭವನಸವರೆಗೆ ಸಿ.ಸಿ ಅಭಿವೃದ್ಧೀ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021167),,,,,
1451,ಮುಖ್ಯ ರಸ್ತೆಯಿಂದ ಹುಸೇನಸಾಬ ಗುಳೆದಗುಡ್ಡ ಮನೆಯವರೆಗೆ ಸಿ.ಸಿ ಅಭಿವೃದ್ಧೀ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021169),,,,,
1452,ಶಿವಾನಂದ ಬಾರ್ಕಿ ಇವರ ಮನೆಯಿಂದ ದಿವಾನಬಿ ಮುಜಾವರ ಮನೆಯವೆರೆಗೆ ಸಿ ಸಿ ರಸ್ತೆ,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021170),,,,,
1453,ರಾಮದುರ್ಗ ತಾಲೂಕಿನ ಪಿರನಗುಡಿ ಗ್ರಾಮದ ಅಂಗನವಾಡಿ ಕಂಪೌಂಡ ಗೋಡಿ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Land Development,1.24436
,(1504009014/LD/93393042892034382),,,,,
1454,ನರಸಾಪೂರ ಗ್ರಾಮದ ಪ್ರೌಡ ಶಾಲೆಯ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ ಪಡಿಸುವದು.,On Going,2018-2019,Gram Panchayat,Land Development,2.57217
,(1504009014/LD/93393042892035635),,,,,
1455,ನರಸಾಪೂರ ಗ್ರಾಮದ ಪ್ರೌಡ ಶಾಲೆಯ ತಡೆಗೋಡೆ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892037342),,,,,
1456,ಪೀರನಗುಡಿ ಗ್ರಾಮದಲ್ಲಿ ಅಂಗನವಾಡಿ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ದಿ ಪಡಿಸುವದು,On Going,2019-2020,Gram Panchayat,Land Development,0.46812
,(1504009014/LD/93393042892208330),,,,,
1457,ಜೀವಾಪೂರ ಗ್ರಾಮದ ಕನ್ನಡ ಶಾಲೆಯ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ,On Going,2019-2020,Gram Panchayat,Land Development,1.86501
,(1504009014/LD/93393042892208331),,,,,
1458,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವೇಶ್ವರ ನಗರದ ಕನ್ನಡ ಶಾಲೆಯ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ,On Going,2019-2020,Gram Panchayat,Land Development,0.57519
,(1504009014/LD/93393042892210102),,,,,
1459,ಚಿಲಮೂರ ಗ್ರಾಮದ ಅಂಗನವಾಡಿ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ,Approved,2019-2020,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892211166),,,,,
1460,ನರಸಾಪೂರ ಗ್ರಾಮದ ಉರ್ದು ಶಾಲೆಯ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ,Approved,2019-2020,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892213557),,,,,
1461,ಸುಳ್ಳಿಕೇರಿ ಗ್ರಾಮದ ಅಂಗನವಾಡಿ ಕೇಂದ್ರದ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ಧಿ ಪಡಿಸುವದು,New,2020-2021,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892221388),,,,,
1462,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಖಬರಸ್ಥಾನ ಅಭೀವೃದ್ಧಿ ಪಡಿಸುವದು,New,2020-2021,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892221389),,,,,
1463,ನರಸಾಪೂರ ಗ್ರಾಮದ ಖಬರಸ್ಥಾನ ಅಭೀವೃದ್ಧಿ ಪಡಿಸುವದು,New,2020-2021,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892221390),,,,,
1464,ನರಸಾಪೂರ ಗ್ರಾಮದ ಪಂಚಾಯತ ರಾಜೀವ ಗಾಂಧಿ ಸೇವಾ ಕೆಂದ್ರದ ಮುಂದಿನ ಅಂಗಳ ಅಭಿವೃದ್ಧಿ ಪಡಿಸುವದು,On Going,2020-2021,Gram Panchayat,Land Development,0.638
,(1504009014/LD/93393042892230857),,,,,
1465,ಚಿಲಮೂರ ಗ್ರಾಮದ ದೋಬೀ ಘಾಟದಿಂದ ಬ್ರಿಜವರೆಗೆ ತಡೆ ಗೊಡೆ ನಿರ್ಮಾಣ,Completed,2010-2011,Gram Panchayat,Land Development,2.50898
,(1504009014/LD/9447705649013),,,,,
1466,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಜನತಾ ಕಾಲನಿಯಲ್ಲಿ ಕನ್ನಡ ಶಾಲೆಗೆ ಕಂ,Completed,2011-2012,Gram Panchayat,Land Development,0.9913
,(1504009014/LD/9447705674510),,,,,
1467,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಶ್ರೀ ಬಸವೇಶ್ವರ ಕನ್ನಡ ಶಾಲೆಗೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ.,Completed,2011-2012,Gram Panchayat,Land Development,0.6
,(1504009014/LD/9447705674515),,,,,
1468,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಕನ್ನಡ ಶಾಲೆಗೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2011-2012,Gram Panchayat,Land Development,0.998
,(1504009014/LD/9447705674519),,,,,
1469,ಜೀವಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕನ್ನಡ ಶಾಲೆಗೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾ,Completed,2011-2012,Gram Panchayat,Land Development,0.9984
,(1504009014/LD/9447705674523),,,,,
1470,ನಿಂಗಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕನ್ನಡ ಶಾಲೆಗೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮ,Completed,2011-2012,Gram Panchayat,Land Development,0.9985
,(1504009014/LD/9447705674528),,,,,
1471,ಪೀರನಗುಡಿ ಗ್ರಾಮದಲ್ಲಿ ಖಭರಸ್ಥಾನ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ.,Completed,2011-2012,Gram Panchayat,Land Development,0.983
,(1504009014/LD/9447705674529),,,,,
1472,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಖಭರಸ್ಥಾನ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ. 1,Completed,2011-2012,Gram Panchayat,Land Development,0.9858
,(1504009014/LD/9447705697359),,,,,
1473,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಖಭರಸ್ಥಾನ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ. ದಕ್ಷ,Completed,2011-2012,Gram Panchayat,Land Development,1.9858
,(1504009014/LD/9447705697363),,,,,
1474,ನರಸಾಪೂರ ಗ್ರಾಮದ ಹಳ್ಳದ ಹತ್ತಿರ ಸ್ಮಶಾನ ಅಭಿವೃದ್ಧಿ ಮಾಡುವ,Completed,2011-2012,Gram Panchayat,Land Development,1.0671
,(1504009014/LD/9447705698407),,,,,
1475,Narasapur Villege ಕನ್ನಡ ಶಾಲೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ.,Completed,2011-2012,Gram Panchayat,Land Development,2.96145
,(1504009014/LD/9447705698408),,,,,
1476,ನರಸಾಪೂರ ಗ್ರಾಮದ ಲಿಂಗಾಯತ ಸಮಾಜದ ಸ್ಮಶಾನ ಅಭಿವೃದ್ಧಿ.,Completed,2011-2012,Gram Panchayat,Land Development,0.9999
,(1504009014/LD/9447705698791),,,,,
1477,ಚಿಲಮೂರ ಗ್ರಾಮದ ಕುರಬರ ಸ್ಮಶಾಣ ಅಭಿವೃದ್ಧಿ.,Completed,2011-2012,Gram Panchayat,Land Development,1.49585
,(1504009014/LD/9447705699059),,,,,
1478,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಸ್ಮಶಾನ ಅಭಿವೃಧಿ,Completed,2015-2016,Gram Panchayat,Land Development,1.96108
,(1504009014/LD/9447705755078),,,,,
1479,ಜೀವಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕ.ಗಂ. ಶಾಲಾ ಮೈದಾನ ಅಭಿವೃಧಿ,Completed,2015-2016,Gram Panchayat,Land Development,2.98663
,(1504009014/LD/9447705755096),,,,,
1480,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಉರ್ದುಶಾಲೆ ಆಟದ ಮೈದಾನ ಅಬಿವೃಧಿ,Completed,2015-2016,Gram Panchayat,Land Development,0.9898
,(1504009014/LD/9447705758481),,,,,
1481,ಸುಳ್ಳಕೇರಿ ಗ್ರಾಮದಲ್ಲಿ ಕ.ಗಂ.ಶಾಲೆ ಮೈದಾನ ಅಭಿವೃದ್ದಿ ಮಾಡುವುದು,Completed,2015-2016,Gram Panchayat,Land Development,2.91594
,(1504009014/LD/9447705758643),,,,,
1482,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಹೊಸುರ ಮಾರ್ಗ ರಸ್ಥೆ ಅಭಿವೃದ್ದಿ ಪಡಿಸುವುದು,Completed,2015-2016,Gram Panchayat,Land Development,0.92104
,(1504009014/LD/9447705758964),,,,,
1483,ಪೀರನಗುಡಿ ಗ್ರಾಮದಲ್ಲಿ ಗೋರಿಸ್ತಾನ ಕಂಪೌಡ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Land Development,2.44085
,(1504009014/LD/9447705759302),,,,,
1484,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕಂಬಾರ ಮನೆಯಿಂದ ಬಸವೇಶ್ವರ ದೇವಸ್ಥಾನದವರೆಗೆ ರಸ್ತೆ ನಿರ್ಮಾನ,Completed,2015-2016,Gram Panchayat,Land Development,1.53368
,(1504009014/LD/9447705761085),,,,,
1485,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಡಾಂಬರ ರಸ್ತೆಯಿಂದ ಜನತಾ ಕಾಲನಿಯವರೆಗೆ ರಸ್ತೆ ನಿರ್ಮಾನ,Completed,2015-2016,Gram Panchayat,Land Development,2.49178
,(1504009014/LD/9447705761514),,,,,
1486,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಡಾಂಬರ ರಸ್ತೆಯಿಂದ ದರ್ಗಾದವರಗೆ ರಸ್ತೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Land Development,1.8007
,(1504009014/LD/9447705762842),,,,,
1487,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಡಾಂಬರ ರಸ್ತೆಯಿಂದ ಜನತಾ ಕಾಲನಿವರಗೆ ರಸ್ತೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Land Development,3.40264
,(1504009014/LD/9447705765633),,,,,
1488,ನರಸಾಪೂರ ಗ್ರಾಮದ ಉರ್ದು ಶಾಲೆಯಿಂದ ಬಸಪ್ಪ ಹಡಪದ ಮನೆಯವರೆಗ ಕಾಂಕ್ರೀಟ ರಸ್ತೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Land Development,2.03648
,(1504009014/LD/9447705765650),,,,,
1489,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕೇಳಗಿನ ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Land Development,2.96139
,(1504009014/LD/9447705765659),,,,,
1490,ಪೀರನಗುಡಿ ಗ್ರಾಮದಲ್ಲಿ ಅಂಗನವಾಡಿಗೆ ಹೋಗುವ ರಸ್ತೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Land Development,1.19878
,(1504009014/LD/9447705765673),,,,,
1491,ನರಸಾಪೂರ ಗ್ರಾಮದ ಜನತಾ ಕಾಲನಿ ಅಂಗನವಾಡಿ ಕೇಂದ್ರದ ಮೈದಾನ ಅಭಿವ್ರದ್ದಿ,Completed,2015-2016,Gram Panchayat,Land Development,1.19952
,(1504009014/LD/9447705765957),,,,,
1492,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಶಾಲಾ ಆಟದ ಮೈದಾನ ಅಭಿವ್ರದ್ದಿ ಪಡಿಸುವುದು,Completed,2015-2016,Gram Panchayat,Land Development,1.89108
,(1504009014/LD/9447705766227),,,,,
1493,ರಾಮದುರ್ಗ ತಾಲೂಕಿನ ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಜಾಪರಸಾಬ ಜ ಮಕಾನದಾರ ಇವರ ಮನೆಯಿಂದ ಜನತಾ ಕಾಲನಿ ವರೆಗೆ ಸಿಸಿ ರಸ್ತೆ ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Land Development,2.97228
,(1504009014/LD/9447705773038),,,,,
1494,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಜಂಗ್ಲಿಬಾಶ ದರಗಾ ಹತ್ತಿರ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾನ,Completed,2016-2017,Gram Panchayat,Land Development,2.97338
,(1504009014/LD/9447705773264),,,,,
1495,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮೇನ ರಸ್ತೆಯಿಂದ ಬಂಗಾಲಿ ಕಟ್ಟಿಯಿಂದ ಗ್ರಾಮ ಪಂಚಾಯತ ಕಾರ್ಯಾಲಯದ ಹತ್ತಿರ ಅಂಗನವಾಡಿವರಗೆ ಗಟಾರನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Land Development,2.91528
,(1504009014/LD/9447705773870),,,,,
1496,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗ್ರಾಮ ಪಂಚಾಯತ ಕಾರ್ಯಾಲಯದ ಉತ್ತರ ಭಾಗದ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ ಮೈದಾನ ಸಿ.ಸಿ.ಹಾಕುವದು,Completed,2016-2017,Gram Panchayat,Land Development,2.94669
,(1504009014/LD/9447705773873),,,,,
1497,ನರಸಾಪೂರ ಗ್ರಾಮದ ಉರ್ದು ಶಾಲೆ ಆಟದ ಮೈದಾನ ಅಭಿವೃದ್ದಿ ಪಡಿಸುವದು,Completed,2016-2017,Gram Panchayat,Land Development,4.86286
,(1504009014/LD/9447705774521),,,,,
1498,ಸುಳ್ಳಿಕೇರಿ ಗ್ರಾಮದ ಅಂಗನವಾಡಿ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Land Development,2.97256
,(1504009014/LD/9447705774544),,,,,
1499,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಜನತಾ ಕಾಲನಿಯಲ್ಲಿ ಕನ್ನಡ ಶಾಲೆ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Land Development,2.90925
,(1504009014/LD/9447705776884),,,,,
1500,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಎಸ್.ಸಿ.ಸ್ಮಶನಾ ಅಭಿವೃದ್ದಿ ಪಡಿಸುವದು,Completed,2016-2017,Gram Panchayat,Land Development,4.07074
,(1504009014/LD/9447705778419),,,,,
1501,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಸಮುದಾಯ ಭವನದ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,On Going,2017-2018,Gram Panchayat,Land Development,3.48405
,(1504009014/LD/9447705787292),,,,,
1502,ಪೀರನಗುಡಿ ಗ್ರಾಮದಲ್ಲಿ ಕಬರಸ್ತಾನ ಹತ್ತಿರ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,physical complete,2017-2018,Gram Panchayat,Land Development,3.95677
,(1504009014/LD/9447705787325),,,,,
1503,ಜೀವಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕನ್ನಡ ಶಾಲೆ ಕಂಪೌಡ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2017-2018,Gram Panchayat,Land Development,4.59972
,(1504009014/LD/9447705787787),,,,,
1504,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಬಸವೇಶ್ವರ ಶಾಲೆ ರಕ್ಷಣ್ಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2017-2018,Gram Panchayat,Land Development,4.205
,(1504009014/LD/9447705789149),,,,,
1505,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಕುರಬರ ಸ್ಮಶಾನ ಹತ್ತಿರ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,On Going,2017-2018,Gram Panchayat,Land Development,3.02438
,(1504009014/LD/9447705790013),,,,,
1506,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಬಸಪ್ಪ ಫಕೀರಪ್ಪ ಹುಚಕೆಂಚನ್ನವರ ಇವರ ಮನೆ ಹತ್ತಿರ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,Completed,2017-2018,Gram Panchayat,Land Development,2.71044
,(1504009014/LD/9447705790047),,,,,
1507,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಚಂದು ಕುಕ್ಕಡಿ ಇವರ ಮನೆ ಹತ್ತಿರ ರಕ್ಷಣಾ ಗೋಡೆ ನಿರ್ಮಾಣ,On Going,2017-2018,Gram Panchayat,Land Development,1.74434
,(1504009014/LD/9447705790048),,,,,
